lastName,count
JAGIELSKI,3607
KŁOSOWSKI,3605
WIĄCEK,3605
MACIĄG,3604
CHUDZIK,3600
RYŚ,3599
STOLARSKI,3594
BĄKOWSKI,3590
ADAMEK,3587
GŁOGOWSKI,3586
KOPER,3585
JURCZAK,3573
PRZYBYŁ,3571
BANASIK,3567
FILIPOWICZ,3561
RUDZIŃSKI,3561
ŻYŁA,3560
KALISZ,3558
SURMA,3558
JARZĄBEK,3554
NIEDŹWIECKI,3552
MARCHEWKA,3550
TOMALA,3548
DĄBKOWSKI,3537
PORĘBSKI,3534
KASPEREK,3532
KUŹMA,3530
RUDNIK,3529
BUDZYŃSKI,3525
PRUS,3511
OLEKSY,3509
STAŃCZAK,3503
MALIK,3500
PIŁAT,3499
MOSKAL,3495
KANIEWSKI,3493
KOPACZ,3490
GORCZYCA,3486
SOŁTYSIAK,3484
GADOMSKI,3482
JAROS,3479
ROMANIUK,3478
NIEMCZYK,3474
BUCZKOWSKI,3471
ZIĘTEK,3471
WYPYCH,3467
MIŚKIEWICZ,3458
TRACZ,3458
SZELĄG,3439
KUCIŃSKI,3431
BARTNIK,3426
GOLEC,3426
DRABIK,3417
KORZENIOWSKI,3409
SOJKA,3406
TRELA,3405
BALCERZAK,3399
WOLIŃSKI,3399
KRUCZEK,3392
SZYMKOWIAK,3385
MELNYK,3372
WARZECHA,3372
GŁĄB,3365
STACHOWICZ,3365
ZABŁOCKI,3365
KUJAWSKI,3362
RYBARCZYK,3361
RADECKI,3360
STACHURSKI,3360
BŁASZCZAK,3356
OSSOWSKI,3352
SĘK,3352
PIETRUSZKA,3351
PIOTROWICZ,3351
DRÓŻDŻ,3349
MAGIERA,3347
FRĄTCZAK,3345
JURCZYK,3342
BUDZIŃSKI,3340
RUDZKI,3339
ŚLĘZAK,3338
PELC,3334
ADAMIAK,3328
ROMAN,3327
BIAŁKOWSKI,3326
SZUBA,3321
LESIAK,3313
KULIŃSKI,3306
ZIMNY,3304
KMIEĆ,3299
BIELSKI,3295
NIEDZIELSKI,3295
FURMAN,3294
KRAKOWSKI,3291
KOSTECKI,3289
WOŹNICA,3289
MIERZWA,3284
KOZIK,3281
KOSOWSKI,3277
BIELIŃSKI,3276
ŚWIDER,3273
PEŁKA,3270
ADAMOWICZ,3265
OLCZYK,3260
SOBOTA,3260
TOMASIK,3256
SKORUPA,3255
BANASZEK,3251
POLAŃSKI,3250
WOJTASIK,3248
GRUDZIEŃ,3244
GUT,3243
PAWLICKI,3241
WOŁOSZYN,3241
STAWICKI,3235
GRZEŚKOWIAK,3231
SEKUŁA,3226
URBANEK,3222
SOBAŃSKI,3215
ŚMIGIELSKI,3204
CZEKAJ,3199
POGORZELSKI,3196
MILLER,3188
KAWECKI,3182
PIWOWARSKI,3168
TOKARCZYK,3162
WOJTKOWIAK,3160
URBANOWICZ,3150
CZERNIAK,3149
LITWIN,3149
KĘDZIOR,3145
BOGACZ,3143
LORENC,3141
PIĘTKA,3137
ŻUCHOWSKI,3129
JUSZCZYK,3126
KNAP,3120
LISZKA,3119
SZWARC,3116
ŚWIĄTKOWSKI,3116
BISKUP,3108
WIŚNIOWSKI,3107
MAKUCH,3106
GACEK,3103
KRASOWSKI,3098
HERMAN,3097
GRUDZIŃSKI,3096
SZOT,3095
RATAJCZYK,3091
IZDEBSKI,3089
NAPIERAŁA,3085
ROSZKOWSKI,3085
SZAREK,3085
KRUKOWSKI,3078
STUDZIŃSKI,3066
ŚLEDŹ,3060
KWIATEK,3055
KARCZ,3053
KAWKA,3051
MACKIEWICZ,3037
SIWIEC,3029
BORYS,3024
JAKUBCZYK,3023
KUKLA,3021
MAŃKA,3021
RYBKA,3018
KUSIAK,3016
PAPROCKI,3009
JÓŹWIK,3007
ROSZAK,3005
DUSZYŃSKI,2998
ROŻEK,2991
MAZIARZ,2985
ŁUKASZEWICZ,2984
RESZKA,2980
JEZIORSKI,2978
WOJDA,2978
BOBROWSKI,2972
ALEKSANDROWICZ,2970
GRZYBEK,2957
TUROWSKI,2954
WACH,2951
KRASZEWSKI,2950
RUSEK,2947
TKACZ,2947
SZKUDLAREK,2942
FILIP,2940
SIDOR,2936
SMOLEŃ,2932
MAŁKOWSKI,2926
SZELIGA,2926
HOFFMANN,2923
ŚPIEWAK,2923
WRZESIŃSKI,2923
KORCZAK,2922
WERNER,2915
SZCZUREK,2910
GRODZKI,2909
MIELCAREK,2908
NIEDZIELA,2907
SZOPA,2904
KĘPKA,2901
KRUSZYŃSKI,2897
KRÓLAK,2894
KORZENIEWSKI,2891
WAJDA,2886
PĘKALA,2885
STASZAK,2885
DROŻDŻ,2880
GRABARCZYK,2870
KOSMALA,2867
OLECH,2866
SZYMANEK,2866
PIECH,2865
BUGAJSKI,2861
MAJKOWSKI,2861
PLICHTA,2859
KULPA,2855
LEWIŃSKI,2852
RZEPECKI,2849
GĄSIOREK,2848
PERKOWSKI,2848
SUSKI,2847
BOGDAŃSKI,2844
GOLA,2841
LIPIEC,2840
SKONIECZNY,2836
RADZISZEWSKI,2828
KAPUŚCIŃSKI,2823
BARTOSZEK,2816
JAKUBIEC,2815
RODAK,2812
KOKOSZKA,2809
ROGOZIŃSKI,2809
KURZAWA,2806
PANASIUK,2804
WASIELEWSKI,2796
SCHMIDT,2789
PISZCZEK,2786
SUŁKOWSKI,2786
ORZEŁ,2785
WOJTOWICZ,2785
KUPIEC,2784
RACZKOWSKI,2776
SUCHECKI,2776
OLSZAK,2775
WRZOSEK,2773
LANGE,2772
PISAREK,2770
DYMEK,2769
OŻÓG,2767
ROKICKI,2767
WIELGUS,2766
PASZKIEWICZ,2765
SZPAK,2764
GOLIŃSKI,2755
KOKOT,2754
KAŹMIERSKI,2753
KOZAKIEWICZ,2748
GOŁĄBEK,2744
JANCZAK,2743
KAWALEC,2741
ZAPAŁA,2738
ADAMIEC,2736
JASKULSKI,2736
RÓG,2736
GŁADYSZ,2730
WYRZYKOWSKI,2725
OSOWSKI,2720
BIELA,2715
BIAŁECKI,2714
BANASZAK,2713
WOJTASZEK,2713
BRODOWSKI,2711
BUGAJ,2708
STOKŁOSA,2707
BARSZCZ,2706
BOJARSKI,2706
CHROBAK,2705
LASEK,2704
KOPROWSKI,2701
ŚWIERCZEK,2699
GRUCA,2698
MATUSIK,2698
ROMAŃSKI,2698
BRZESKI,2696
GARBACZ,2692
SZYMANOWSKI,2689
KONARSKI,2684
PLEWA,2684
MACH,2682
NGUYEN,2680
